股票代码,股票名称,交易日期,新浪行业,新浪概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率TTM,市销率TTM,市现率TTM,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3,振幅,量比
sz000010,美丽生态,2017-04-28,建筑建材,装饰园林；金融参股；深圳本地；股期概念；未股改,广东；深圳,6.220000,6.230000,6.160000,6.230000,67.109150,6.230000,-0.003200,6292400.000000,38994896.000000,0.012068,3248296388.470000,5107694861.990000,0.000000,0.000000,108.536585,5.661094,6.981957,2.332198,6.300000,6.483000,6.766000,6.829667,6.955167,,-0.197378,-0.126720,-0.141316,,18.956991,17.125131,22.620710,,6.799000,7.427563,6.170437,16.666667,20.833333,18.644076,27.203024,34.364590,0.011200,0.780294
sz000010,美丽生态,2017-04-27,建筑建材,装饰园林；金融参股；深圳本地；股期概念；未股改,广东；深圳,6.250000,6.290000,6.020000,6.250000,67.324588,6.250000,-0.003190,10429722.000000,64361496.560000,0.020003,3258724306.250000,5124091956.250000,0.000000,0.000000,128.600823,5.679268,-63.259109,2.312759,6.370000,6.563000,6.799000,6.857333,6.968833,,-0.183424,-0.109055,-0.148738,,16.768820,16.209202,17.888056,金叉,6.831500,7.411574,6.251426,16.666667,22.222222,19.397218,27.706832,34.689864,0.043062,1.327544
sz000010,美丽生态,2017-04-26,建筑建材,装饰园林；金融参股；深圳本地；股期概念；未股改,广东；深圳,6.400000,6.420000,6.230000,6.270000,67.540027,6.270000,-0.021841,6762911.000000,42601082.700000,0.012971,3269152224.030000,5140489050.510000,0.000000,0.000000,129.012346,5.697441,-63.461538,2.320160,6.434000,6.648000,6.831500,6.879667,6.982000,,-0.164983,-0.090463,-0.149040,,13.418536,15.929392,8.396822,,6.863000,7.387852,6.338148,25.000000,25.000000,20.072937,28.185333,35.007416,0.029641,0.998865
sz000010,美丽生态,2017-04-25,建筑建材,装饰园林；金融参股；深圳本地；股期概念；未股改,广东；深圳,6.150000,6.440000,6.150000,6.410000,69.048098,6.410000,0.011041,9140141.000000,57893111.160000,0.017530,3342147648.490000,5255268710.330000,0.000000,0.000000,131.893004,5.824657,-64.878543,2.371966,6.498000,6.750000,6.863000,6.903333,6.993667,,-0.141081,-0.071833,-0.138496,,14.467426,17.184821,9.032637,,6.889000,7.374497,6.403503,25.000000,26.388889,25.192233,31.697999,37.297809,0.045741,1.175461
sz000010,美丽生态,2017-04-24,建筑建材,装饰园林；金融参股；深圳本地；股期概念；未股改,广东；深圳,6.570000,6.570000,6.330000,6.340000,68.294062,6.340000,-0.036474,7695547.000000,49142421.240000,0.014760,3305649936.260000,5197878880.420000,0.000000,0.000000,130.452675,5.761049,-64.170040,2.346063,6.568000,6.847000,6.889000,6.921667,7.001500,,-0.122776,-0.054521,-0.136511,,9.436988,18.543518,-8.776071,,6.918000,7.339317,6.496683,16.666667,27.777778,16.297648,27.560169,35.268481,0.036474,1.038876
sz000010,美丽生态,2017-04-21,建筑建材,装饰园林；金融参股；深圳本地；股期概念；未股改,广东；深圳,6.600000,6.630000,6.490000,6.580000,70.879326,6.580000,0.001522,5253689.000000,34493156.920000,0.010076,3430784949.620000,5394644011.540000,0.000000,0.000000,104.615482,5.979133,-42.371517,2.454857,6.666000,6.917000,6.918000,6.943333,7.009000,10日、20日均线死叉；10日、30日均线死叉；,-0.090500,-0.037457,-0.106086,,13.720700,23.096783,-5.031465,,6.938000,7.332064,6.543936,25.000000,30.555556,24.682637,34.041653,39.465242,0.021309,0.612558
sz000010,美丽生态,2017-04-20,建筑建材,装饰园林；金融参股；深圳本地；股期概念；未股改,广东；深圳,6.600000,6.640000,6.510000,6.570000,70.771607,6.570000,-0.003035,5000705.000000,32892962.050000,0.009591,3425570990.730000,5386445464.410000,0.000000,0.000000,104.456492,5.970046,-42.307123,2.451127,6.756000,6.965000,6.938000,6.960333,7.013167,10日、60日均线死叉；,-0.072423,-0.024196,-0.096454,,15.951421,27.784824,-7.715387,,6.965500,7.325100,6.605900,25.000000,31.944444,23.312675,33.443818,39.176236,0.019727,0.461001
sz000010,美丽生态,2017-04-19,建筑建材,装饰园林；金融参股；深圳本地；股期概念；未股改,广东；深圳,6.760000,6.770000,6.480000,6.590000,70.987046,6.590000,-0.025148,11788882.000000,77597728.630000,0.022610,3435998908.510000,5402842558.670000,0.000000,0.000000,104.774473,5.988220,-42.435911,2.458588,6.862000,7.019000,6.965500,6.977667,7.018333,5日、20日均线死叉；5日、30日均线死叉；,-0.047279,-0.012139,-0.070280,,19.760464,33.701526,-8.121659,,6.984000,7.304407,6.663593,33.333333,34.722222,24.041501,34.008945,39.538031,0.042899,0.827902
sz000010,美丽生态,2017-04-18,建筑建材,装饰园林；金融参股；深圳本地；股期概念；未股改,广东；深圳,6.840000,6.920000,6.750000,6.760000,72.818275,6.760000,-0.010249,7299014.000000,49915438.480000,0.013999,3524636209.640000,5542217859.880000,0.000000,0.000000,107.477304,6.142696,-43.530616,2.522012,7.002000,7.054000,6.984000,6.993667,7.022000,5日、10日均线死叉；5日、60日均线死叉；,-0.016535,-0.003354,-0.026362,死叉,24.548104,40.672057,-7.699803,,6.993000,7.301734,6.684266,33.333333,36.111111,30.879716,39.165562,42.754326,0.024890,0.384569
sz000010,美丽生态,2017-04-17,建筑建材,装饰园林；金融参股；深圳本地；股期概念；未股改,广东；深圳,6.940000,7.000000,6.780000,6.830000,73.572310,6.830000,-0.028450,13540896.000000,92902505.220000,0.025970,3561133921.870000,5599607689.790000,0.000000,0.000000,108.590235,6.206304,-43.981377,2.548127,7.126000,7.056000,6.993000,7.000667,7.027000,1日、20日均线死叉；1日、30日均线死叉；,0.005637,-0.000059,0.011391,,36.204871,48.734033,11.146548,,7.003000,7.303401,6.702599,33.333333,36.111111,34.219538,41.543121,44.172260,0.031294,0.541264
sz000010,美丽生态,2017-04-14,建筑建材,装饰园林；金融参股；深圳本地；股期概念；未股改,广东；深圳,7.100000,7.210000,7.000000,7.030000,75.726697,7.030000,-0.009859,16608004.000000,118139049.120000,0.031853,3665413099.670000,5763578632.390000,0.000000,0.000000,111.770037,6.388040,-45.269265,2.622743,7.168000,7.049000,7.003000,7.004333,7.034333,10日、60日均线金叉；1日、10日均线死叉；1日、60日均线死叉；,0.026727,-0.001483,0.056420,,51.102179,54.998614,43.309308,死叉,7.004500,7.304673,6.704327,33.333333,37.500000,46.087780,49.396716,48.584089,0.029577,0.660996
