股票代码,股票名称,交易日期,新浪行业,新浪概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率TTM,市销率TTM,市现率TTM,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3,振幅,量比
sz000005,世纪星源,2017-04-28,房地产,空气治理；充电桩；固废处理；污水处理；前海概念；外资背景；深圳本地,广东；深圳,5.800000,5.840000,5.710000,5.820000,59.502236,5.820000,0.003448,4984699.000000,28872765.450000,0.005240,5536114711.380000,6160684420.440000,0.000000,0.000000,58.551308,84.886672,-18.493804,4.841930,5.906000,6.074000,6.252500,6.340667,6.473333,,-0.167897,-0.112919,-0.109955,,21.755471,16.314117,32.638180,,6.281000,6.779273,5.782727,16.666667,26.388889,18.162611,26.838281,33.195037,0.022414,0.721434
sz000005,世纪星源,2017-04-27,房地产,空气治理；充电桩；固废处理；污水处理；前海概念；外资背景；深圳本地,广东；深圳,5.940000,5.950000,5.520000,5.800000,59.297761,5.800000,-0.025210,12406487.000000,70908607.320000,0.013043,5517090262.200000,6139513683.600000,0.000000,0.000000,58.350101,84.594965,-18.430251,4.825291,5.980000,6.137000,6.281000,6.364667,6.485000,,-0.154390,-0.099175,-0.110431,,15.191347,13.593440,18.387160,金叉,6.312000,6.767286,5.856714,16.666667,30.555556,14.470312,25.275165,32.429079,0.072269,1.842989
sz000005,世纪星源,2017-04-26,房地产,空气治理；充电桩；固废处理；污水处理；前海概念；外资背景；深圳本地,广东；深圳,5.970000,6.010000,5.930000,5.950000,60.831324,5.950000,0.000000,4318561.000000,25771884.560000,0.004540,5659773631.050000,6298294209.900000,0.000000,0.000000,55.695444,86.782766,-52.158668,4.910862,6.052000,6.221000,6.312000,6.390667,6.496833,,-0.132870,-0.085371,-0.094997,,7.402404,12.794487,-3.381760,,6.338500,6.766839,5.910161,25.000000,36.111111,20.153200,29.626945,35.341537,0.013445,0.775701
sz000005,世纪星源,2017-04-25,房地产,空气治理；充电桩；固废处理；污水处理；前海概念；外资背景；深圳本地,广东；深圳,6.010000,6.070000,5.930000,5.950000,60.831324,5.950000,-0.009983,4669017.000000,28070208.860000,0.004908,5659773631.050000,6298294209.900000,0.000000,0.000000,55.695444,86.782766,-52.158668,4.910862,6.100000,6.298000,6.338500,6.413333,6.506500,,-0.118741,-0.073496,-0.090490,,8.990931,15.490528,-4.008264,,6.367500,6.760081,5.974919,25.000000,40.277778,20.153200,29.626945,35.341537,0.023295,0.690720
sz000005,世纪星源,2017-04-24,房地产,空气治理；充电桩；固废处理；污水处理；前海概念；外资背景；深圳本地,广东；深圳,6.190000,6.190000,5.920000,6.010000,61.444749,6.010000,-0.029079,8168416.000000,48983093.200000,0.008587,5716846978.590000,6361806420.420000,0.000000,0.000000,56.257079,87.657886,-52.684637,4.960383,6.172000,6.361000,6.367500,6.436333,6.515667,,-0.098981,-0.062185,-0.073593,,11.721690,18.740327,-2.315583,,6.392500,6.753278,6.031722,33.333333,44.444444,22.620939,31.446779,36.547334,0.043619,1.150800
sz000005,世纪星源,2017-04-21,房地产,空气治理；充电桩；固废处理；污水处理；前海概念；外资背景；深圳本地,广东；深圳,6.160000,6.200000,6.130000,6.190000,63.285024,6.190000,0.004870,4096127.000000,25266425.510000,0.004306,5888067021.210000,6552343051.980000,0.000000,0.000000,57.941983,90.283247,-54.262547,5.108947,6.242000,6.390000,6.392500,6.458667,6.522833,10日、20日均线死叉；,-0.078430,-0.052986,-0.050887,,13.600234,22.249645,-3.698588,,6.410500,6.760545,6.060455,41.666667,47.222222,32.600768,37.838392,40.522168,0.011364,0.536070
sz000005,世纪星源,2017-04-20,房地产,空气治理；充电桩；固废处理；污水处理；前海概念；外资背景；深圳本地,广东；深圳,6.190000,6.230000,6.100000,6.160000,62.978312,6.160000,-0.004847,6584395.000000,40602927.830000,0.006922,5859530347.440000,6520586946.720000,0.000000,0.000000,57.661166,89.845687,-53.999562,5.084186,6.294000,6.411000,6.410500,6.476333,6.528833,10日、20日均线金叉；,-0.069385,-0.046625,-0.045520,,15.663509,26.574351,-6.158174,,6.434500,6.766463,6.102537,41.666667,48.611111,28.201339,35.846268,39.470704,0.021002,0.660568
sz000005,世纪星源,2017-04-19,房地产,空气治理；充电桩；固废处理；污水处理；前海概念；外资背景；深圳本地,广东；深圳,6.290000,6.290000,6.100000,6.190000,63.285024,6.190000,-0.019017,10280258.000000,63593725.300000,0.010807,5888067021.210000,6552343051.980000,0.000000,0.000000,57.941983,90.283247,-54.262547,5.108947,6.390000,6.432000,6.434500,6.493333,6.534167,5日、10日均线死叉；5日、20日均线死叉；,-0.053776,-0.040935,-0.025683,死叉,20.337369,32.029771,-3.047436,,6.450500,6.766988,6.134012,50.000000,51.388889,29.823598,36.931191,40.150927,0.030111,0.752196
sz000005,世纪星源,2017-04-18,房地产,空气治理；充电桩；固废处理；污水处理；前海概念；外资背景；深圳本地,广东；深圳,6.370000,6.380000,6.300000,6.310000,64.511875,6.310000,-0.007862,6360952.000000,40364929.400000,0.006687,6002213716.290000,6679367473.020000,0.000000,0.000000,59.065253,92.033488,-55.314486,5.207989,6.496000,6.449000,6.450500,6.511667,6.538333,5日、30日均线死叉；5日、60日均线死叉；,-0.036127,-0.037725,0.003196,,25.769211,37.875973,1.555688,,6.462500,6.773964,6.151036,50.000000,51.388889,36.898852,41.541243,42.991008,0.012579,0.281934
sz000005,世纪星源,2017-04-17,房地产,空气治理；充电桩；固废处理；污水处理；前海概念；外资背景；深圳本地,广东；深圳,6.410000,6.430000,6.300000,6.360000,65.023062,6.360000,-0.013953,10883423.000000,69118658.050000,0.011442,6049774839.240000,6732294315.120000,0.000000,0.000000,59.533282,92.762755,-55.752794,5.249257,6.550000,6.444000,6.462500,6.521667,6.544500,5日、60日均线金叉；1日、10日均线死叉；,-0.025292,-0.038124,0.025664,,35.489260,43.929353,18.609073,,6.474000,6.782276,6.165724,50.000000,50.000000,40.211206,43.620979,44.240580,0.020155,0.415976
