股票代码,股票名称,交易日期,新浪行业,新浪概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率TTM,市销率TTM,市现率TTM,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3,振幅,量比
sz000006,深振业Ａ,2017-04-28,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.240000,8.400000,8.200000,8.320000,494.143688,8.320000,0.014634,15031442.000000,124653709.930000,0.011177,11189434006.400000,11231958774.400000,0.000000,0.000000,13.474863,4.242374,9.231613,2.198441,8.192000,8.379000,8.572500,8.586667,8.687500,1日、5日均线金叉；,-0.128442,-0.071814,-0.113256,,22.122643,18.246906,29.874117,金叉,8.580500,9.385232,7.775768,25.000000,31.944444,43.897168,43.382947,44.442555,0.024390,0.994971
sz000006,深振业Ａ,2017-04-27,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.190000,8.250000,8.010000,8.200000,487.016615,8.200000,-0.002433,15637501.000000,127068368.990000,0.011627,11028047939.000000,11069959369.000000,0.000000,0.000000,13.280514,4.181186,9.098464,2.166733,8.208000,8.442000,8.580500,8.599000,8.692667,,-0.129076,-0.057657,-0.142836,,14.731584,16.309038,11.576676,,8.595500,9.386076,7.804924,25.000000,36.111111,33.578466,39.032233,42.225976,0.029197,1.079036
sz000006,深振业Ａ,2017-04-26,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.180000,8.250000,8.130000,8.220000,488.204461,8.220000,0.011070,12818259.000000,105004475.510000,0.009531,11054945616.900000,11096959269.900000,0.000000,0.000000,14.253511,4.191384,6.495456,2.217127,8.252000,8.558000,8.595500,8.618333,8.698500,10日、20日均线死叉；10日、30日均线死叉；,-0.115789,-0.039803,-0.151972,,11.990993,17.097765,1.777449,,8.612500,9.387304,7.837696,33.333333,41.666667,34.458718,39.495921,42.496785,0.014760,0.892542
sz000006,深振业Ａ,2017-04-25,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.140000,8.270000,8.070000,8.130000,482.859156,8.130000,0.004944,11643571.000000,95195277.530000,0.008658,10933906066.350000,10975459715.850000,0.000000,0.000000,14.097451,4.145493,6.424338,2.192852,8.320000,8.703000,8.612500,8.636333,8.704833,10日、60日均线死叉；,-0.099182,-0.020806,-0.156751,,10.410732,19.651151,-8.070107,,8.634500,9.381078,7.887922,33.333333,45.833333,27.313216,36.378238,40.861157,0.024722,0.723762
sz000006,深振业Ａ,2017-04-24,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.410000,8.430000,8.020000,8.090000,480.483466,8.090000,-0.036905,20406344.000000,166787973.800000,0.015173,10880110710.549999,10921459914.049999,0.000000,0.000000,14.028091,4.125097,6.392730,2.182063,8.434000,8.805000,8.634500,8.660000,8.711667,,-0.067379,-0.001212,-0.132333,,12.021326,24.271360,-12.478742,,8.656500,9.367293,7.945707,33.333333,50.000000,24.254707,35.013981,40.135898,0.048810,1.159614
sz000006,深振业Ａ,2017-04-21,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.410000,8.500000,8.400000,8.400000,498.895069,8.400000,-0.002375,11954838.000000,100867586.180000,0.008889,11297024718.000000,11339958378.000000,0.000000,0.000000,14.565632,4.283166,6.637693,2.265678,8.566000,8.851000,8.656500,8.682333,8.717667,5日、20日均线死叉；,-0.021734,0.015329,-0.074127,,16.255340,30.396378,-12.026736,,8.663500,9.370376,7.956624,41.666667,54.166667,33.305616,41.306457,44.157946,0.011876,0.638759
sz000006,深振业Ａ,2017-04-20,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.530000,8.620000,8.320000,8.420000,500.082915,8.420000,-0.016355,14984572.000000,127239815.650000,0.011142,11323922395.900000,11366958278.900000,0.000000,0.000000,14.600312,4.293364,6.653497,2.271072,8.676000,8.865000,8.663500,8.692000,8.720500,5日、30日均线死叉；5日、60日均线死叉；,0.005277,0.024595,-0.038635,死叉,21.987800,37.466896,-8.970393,,8.676500,9.375742,7.977258,50.000000,56.944444,33.987487,41.750186,44.433247,0.035047,0.588222
sz000006,深振业Ａ,2017-04-19,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.600000,8.640000,8.390000,8.560000,508.397833,8.560000,-0.016092,21448572.000000,182268873.540000,0.015948,11512206141.200001,11555957585.200001,0.000000,0.000000,14.843073,4.364750,6.764125,2.308833,8.864000,8.876000,8.676500,8.702000,8.722500,1日、20日均线死叉；5日、10日均线死叉；,0.037641,0.029424,0.016433,,29.987688,45.206445,-0.449826,,8.683500,9.381442,7.985558,58.333333,59.722222,38.597001,44.841093,46.372682,0.028736,0.623038
sz000006,深振业Ａ,2017-04-18,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.750000,8.850000,8.700000,8.700000,516.712750,8.700000,-0.005714,19193364.000000,168559176.080000,0.014271,11700489886.500000,11744956891.500000,0.000000,0.000000,15.085833,4.436136,6.874753,2.346595,9.086000,8.865000,8.683500,8.705667,8.720667,1日、30日均线死叉；1日、60日均线死叉；,0.064146,0.027370,0.073552,,39.669032,52.815823,13.375448,,8.687500,9.385408,7.989592,58.333333,59.722222,43.515068,48.105738,48.397115,0.017143,0.344798
sz000006,深振业Ａ,2017-04-17,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.900000,8.950000,8.680000,8.750000,519.682364,8.750000,-0.022346,25997315.000000,228409545.660000,0.019331,11767734081.250000,11812456643.750000,0.000000,0.000000,15.172533,4.461631,6.914263,2.360081,9.176000,8.823000,8.687500,8.702000,8.722833,1日、10日均线死叉；,0.082790,0.018176,0.129227,,50.069585,59.389219,31.430317,,8.690500,9.388034,7.992966,58.333333,58.333333,45.230334,49.280329,49.131218,0.030168,0.418315
sz000006,深振业Ａ,2017-04-14,房地产,粤港澳；前海概念；深圳本地,广东；深圳,9.260000,9.340000,8.880000,8.950000,531.560818,8.950000,-0.043803,45748014.000000,412707366.770000,0.034016,12036710860.250000,12082455652.750000,0.000000,0.000000,15.519334,4.563612,7.072303,2.414026,9.136000,8.766000,8.690500,8.698000,8.732000,10日、60日均线金叉；1日、5日均线死叉；,0.100290,0.002023,0.196534,,61.361688,64.049036,55.986991,死叉,8.677500,9.366555,7.988445,58.333333,55.555556,52.072235,54.126162,52.164326,0.049145,0.764053
sz000006,深振业Ａ,2017-04-13,房地产,粤港澳；前海概念；深圳本地,广东；深圳,9.540000,9.550000,9.100000,9.360000,555.911649,9.360000,-0.032058,59741741.000000,557426084.840000,0.044421,12588113257.200001,12635953621.200001,0.000000,0.000000,16.230276,4.772671,7.396286,2.524612,9.054000,8.719000,8.677500,8.692000,8.744167,10日、20日均线金叉；10日、30日均线金叉；,0.100804,-0.022544,0.246697,,72.100335,65.392710,85.515585,,8.648500,9.266319,8.030681,58.333333,51.388889,70.217591,66.394727,59.364209,0.046536,1.119373
sz000006,深振业Ａ,2017-04-12,房地产,粤港澳；前海概念；深圳本地,广东；深圳,9.500000,9.990000,9.260000,9.670000,574.323252,9.670000,0.056831,127647314.000000,1229765187.460000,0.094913,13005027264.650000,13054452085.150000,0.000000,0.000000,16.767817,4.930740,7.641249,2.608227,8.888000,8.633000,8.648500,8.672667,8.750833,5日、60日均线金叉；,0.058249,-0.053381,0.223261,,75.458195,62.038898,102.296789,,8.603000,9.019366,8.186634,66.666667,45.833333,89.971954,78.769387,65.961014,0.079781,2.896962
sz000006,深振业Ａ,2017-04-11,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.550000,9.300000,8.480000,9.150000,543.439272,9.150000,0.070175,51603967.000000,458974207.340000,0.038371,12305687639.250000,12352454661.750000,0.000000,0.000000,15.866135,4.665592,7.230344,2.467970,8.644000,8.522000,8.603000,8.643667,8.755500,1日、20日均线金叉；1日、30日均线金叉；1日、60日均线金叉；5日、20日均线金叉；5日、30日均线金叉；,-0.028477,-0.081289,0.105623,,71.978501,55.329249,105.277005,,8.587500,8.924810,8.250190,58.333333,38.888889,83.472308,70.240884,58.558014,0.095906,2.484103
sz000006,深振业Ａ,2017-04-10,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.520000,8.650000,8.460000,8.550000,507.803910,8.550000,0.001171,14636170.000000,125622675.970000,0.010883,11498757302.250000,11542457634.750000,0.000000,0.000000,14.825733,4.359651,6.756223,2.306136,8.470000,8.464000,8.587500,8.634000,8.769833,5日、10日均线金叉；,-0.085812,-0.094492,0.017358,,64.604920,47.004623,99.805514,,8.598000,8.935404,8.260596,50.000000,31.944444,56.134589,48.255522,45.435947,0.022248,1.206046
sz000006,深振业Ａ,2017-04-07,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.530000,8.630000,8.460000,8.540000,507.209987,8.540000,0.001172,13224453.000000,113111003.280000,0.009833,11485308463.299999,11528957684.299999,0.000000,0.000000,14.808393,4.354552,6.748321,2.303439,8.396000,8.462000,8.598000,8.644000,8.791000,,-0.096654,-0.096661,0.000015,金叉,57.324047,38.204475,95.563190,,8.605500,8.945950,8.265050,41.666667,27.777778,55.103174,47.664822,45.158592,0.019930,1.051040
sz000006,深振业Ａ,2017-04-06,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.440000,8.560000,8.400000,8.530000,506.616064,8.530000,0.009467,13200467.000000,112341565.870000,0.009815,11471859624.350000,11515457733.850000,0.000000,0.000000,14.791053,4.349453,6.740419,2.300742,8.384000,8.462000,8.605500,8.657333,8.812000,1日、10日均线金叉；,-0.108067,-0.096663,-0.022808,,45.768679,28.644689,80.016658,,8.615000,8.956288,8.273712,33.333333,25.000000,54.205870,47.111373,44.890135,0.018935,1.148132
sz000006,深振业Ａ,2017-04-05,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.280000,8.470000,8.280000,8.450000,501.864683,8.450000,0.020531,11203358.000000,94061865.600000,0.008330,11364268912.750000,11407458130.250000,0.000000,0.000000,14.652332,4.308661,6.677203,2.279164,8.378000,8.477000,8.615000,8.670333,8.831000,1日、5日均线金叉；,-0.120045,-0.093812,-0.052465,,27.743927,20.082694,43.066394,金叉,8.626000,8.965639,8.286361,25.000000,25.000000,47.166346,42.665013,42.741242,0.022947,1.126166
sz000006,深振业Ａ,2017-03-31,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.270000,8.370000,8.260000,8.280000,491.767997,8.280000,0.012225,8413866.000000,69786167.290000,0.006256,11135638650.600000,11177958972.600000,0.000000,0.000000,14.357552,4.221978,6.542868,2.233311,8.400000,8.502000,8.626000,8.683333,8.847667,,-0.125441,-0.087254,-0.076374,,13.615891,16.252078,8.343518,,8.641500,8.961077,8.321923,25.000000,27.777778,27.404915,31.437011,37.802282,0.013447,0.897018
sz000006,深振业Ａ,2017-03-30,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.440000,8.480000,8.170000,8.180000,485.828770,8.180000,-0.035377,16869109.000000,139529822.930000,0.012543,11001150261.100000,11042959468.100000,0.000000,0.000000,14.184151,4.170988,6.463848,2.206339,8.458000,8.552000,8.641500,8.700000,8.868333,,-0.113195,-0.077707,-0.070975,,10.423837,17.570171,-3.868832,,8.664000,8.922960,8.405040,16.666667,29.166667,11.106397,23.342307,34.623329,0.036557,1.790210
sz000006,深振业Ａ,2017-03-29,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.530000,8.580000,8.460000,8.480000,503.646451,8.480000,-0.002353,7799937.000000,66410004.550000,0.005799,11406883761.760000,11447957981.600000,0.000000,0.000000,44.998435,4.323958,5.439688,2.634768,8.528000,8.615000,8.664000,8.726667,8.894167,,-0.085736,-0.068835,-0.033801,,14.816083,21.143338,2.161572,,8.678500,8.925312,8.431688,25.000000,33.333333,25.315555,34.564366,40.587334,0.014118,0.970862
sz000006,深振业Ａ,2017-03-28,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.570000,8.570000,8.500000,8.500000,504.834296,8.500000,-0.007009,5454876.000000,46469205.060000,0.004055,11433786789.500000,11474957882.500000,0.000000,0.000000,45.104563,4.334156,5.452517,2.640982,8.540000,8.636000,8.678500,8.744000,8.913333,,-0.079987,-0.064610,-0.030754,,19.032635,24.306966,8.483972,,8.692500,8.926697,8.458303,25.000000,37.500000,27.252557,35.610599,41.038972,0.008178,0.624016
sz000006,深振业Ａ,2017-03-27,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.560000,8.610000,8.480000,8.560000,508.397833,8.560000,-0.001167,8361301.000000,71511502.580000,0.006216,11514495872.719999,11555957585.200001,0.000000,0.000000,45.422948,4.364750,5.491006,2.659624,8.576000,8.664000,8.692500,8.756000,8.931833,,-0.073522,-0.060766,-0.025513,,23.229803,26.944131,15.801146,,8.704500,8.931101,8.477899,33.333333,41.666667,33.698619,38.843973,42.395272,0.015169,0.878094
sz000006,深振业Ａ,2017-03-24,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.530000,8.590000,8.480000,8.570000,508.991755,8.570000,0.004689,8629665.000000,73698280.730000,0.006415,11527947386.590000,11569457535.650000,0.000000,0.000000,45.476012,4.369849,5.497420,2.662731,8.604000,8.684000,8.704500,8.764000,8.949000,,-0.070311,-0.057577,-0.025467,,23.142577,28.801295,11.825140,,8.719000,8.939253,8.498747,41.666667,44.444444,34.843272,39.390394,42.620250,0.012896,0.854658
sz000006,深振业Ａ,2017-03-23,房地产,粤港澳；前海概念；深圳本地,广东；深圳,8.570000,8.590000,8.450000,8.530000,506.616064,8.530000,-0.001171,9924383.000000,84548960.590000,0.007378,11474141331.110001,11515457733.850000,0.000000,0.000000,45.263756,4.349453,5.471761,2.650303,8.646000,8.711000,8.719000,8.771333,8.972667,,-0.066206,-0.054394,-0.023626,,21.947908,31.630655,2.582414,,8.735000,8.940683,8.529317,33.333333,45.833333,26.523988,36.094180,41.428778,0.016393,0.768187
