index_code,date,open,close,low,high,volume,money,change
sz399006,2014-12-31,1455.68,1471.76,1451.29,1479.86,627856316.0,14167671959.0,0.00798297112268
sz399006,2014-12-30,1491.1,1460.11,1450.05,1493.44,763285980.0,17382715910.0,-0.0262051487262
sz399006,2014-12-29,1531.12,1499.4,1491.21,1531.12,841627997.0,18724891149.0,-0.0238802355603
sz399006,2014-12-26,1531.2,1536.08,1524.01,1539.16,602436711.0,14180960033.0,0.00432437945743
sz399006,2014-12-25,1522.0,1529.47,1514.23,1531.64,597262231.0,14283411451.0,0.00636268767297
sz399006,2014-12-24,1502.67,1519.8,1501.23,1524.27,590852250.0,13428859161.0,0.0155452532318
sz399006,2014-12-23,1501.53,1496.53,1489.12,1543.35,737496025.0,16670237774.0,-0.0140942126372
sz399006,2014-12-22,1583.96,1517.93,1510.05,1583.96,913962620.0,20599063604.0,-0.0494003360448
sz399006,2014-12-19,1627.8,1596.81,1568.98,1627.8,845184621.0,19943629175.0,-0.0227905843878
sz399006,2014-12-18,1641.58,1634.05,1633.26,1663.67,789048974.0,19728892491.0,-0.00617925182397
sz399006,2014-12-17,1639.15,1644.21,1623.7,1652.98,889766964.0,22536643524.0,-0.00325537014832
sz399006,2014-12-16,1665.3,1649.58,1636.18,1674.98,902521865.0,22480964368.0,-0.00477587303273
sz399006,2014-12-15,1623.6,1657.5,1619.7,1664.26,1002989024.0,24805460853.0,0.0208977875286
sz399006,2014-12-12,1588.24,1623.57,1586.75,1626.34,1025023808.0,24450985234.0,0.0226143424463
sz399006,2014-12-11,1572.61,1587.67,1563.32,1593.38,1080821207.0,25535591857.0,0.00952511151311
sz399006,2014-12-10,1499.33,1572.69,1499.33,1576.89,1164501565.0,28047392405.0,0.0452352516212
sz399006,2014-12-09,1557.02,1504.62,1504.23,1577.75,1343729117.0,30842828612.0,-0.0399065062154
sz399006,2014-12-08,1575.3,1567.16,1554.79,1600.87,1190537702.0,27493961917.0,-0.00932039620534
sz399006,2014-12-05,1626.12,1581.91,1544.47,1626.12,1245316480.0,28606680242.0,-0.0246250412339
sz399006,2014-12-04,1604.89,1621.85,1604.89,1631.31,1181810020.0,28362070615.0,0.0108436115372
sz399006,2014-12-03,1568.47,1604.45,1540.42,1604.88,1336336321.0,31190679966.0,0.0249326537274
sz399006,2014-12-02,1554.46,1565.42,1552.13,1567.54,812599198.0,19035556275.0,0.00844614399481
sz399006,2014-12-01,1569.65,1552.31,1544.18,1569.65,888777791.0,19653648777.0,-0.0118057027688
sz399006,2014-11-28,1562.83,1570.85,1558.31,1582.48,955724018.0,21705573245.0,0.00476011075797
sz399006,2014-11-27,1557.77,1563.41,1548.29,1566.83,792371143.0,18221710914.0,0.00591229040934
sz399006,2014-11-26,1544.69,1554.22,1544.1,1561.3,797708315.0,18415205693.0,0.00797576012276
sz399006,2014-11-25,1510.62,1541.92,1510.25,1541.92,804775718.0,18123054066.0,0.0226228618839
sz399006,2014-11-24,1513.43,1507.81,1497.85,1515.84,676005521.0,14604530098.0,0.00197895713345
sz399006,2014-11-21,1493.16,1504.83,1493.16,1508.22,537833579.0,11845412247.0,0.00685271087542
sz399006,2014-11-20,1504.58,1494.59,1491.65,1504.58,589662660.0,13520587252.0,-0.00728038619722
sz399006,2014-11-19,1488.46,1505.55,1488.46,1509.73,596234105.0,13058574992.0,0.0159880150622
sz399006,2014-11-18,1471.08,1481.86,1470.51,1483.14,517442228.0,10473513117.0,0.0069138436554
sz399006,2014-11-17,1444.06,1471.69,1437.99,1474.36,520673088.0,10522923090.0,0.0211433008167
sz399006,2014-11-14,1438.97,1441.21,1435.5,1449.1,442486637.0,8746362455.0,-0.00114079061086
sz399006,2014-11-13,1473.74,1442.86,1434.27,1473.74,661101052.0,13476264868.0,-0.0222896379001
sz399006,2014-11-12,1457.24,1475.75,1455.09,1476.03,465755639.0,9668865060.0,0.00974678209083
sz399006,2014-11-11,1513.53,1461.51,1452.03,1514.37,782225809.0,16163519161.0,-0.0351923465393
sz399006,2014-11-10,1525.2,1514.82,1506.8,1526.38,610576079.0,13229759233.0,-0.0051273294475
sz399006,2014-11-07,1535.49,1522.63,1517.29,1543.72,768774289.0,17128694824.0,-0.00645668572025
sz399006,2014-11-06,1513.72,1532.52,1510.78,1532.87,579330990.0,12731389419.0,0.0132450725196
sz399006,2014-11-05,1514.77,1512.49,1505.98,1517.02,550905810.0,11650673864.0,-0.00257782267956
sz399006,2014-11-04,1531.82,1516.4,1514.47,1538.18,634171041.0,14248678616.0,-0.00882153772946
sz399006,2014-11-03,1513.25,1529.89,1513.2,1529.9,596847502.0,12895397134.0,0.0109861643715
sz399006,2014-10-31,1527.61,1513.27,1502.25,1529.55,705558419.0,14565899088.0,-0.00819260083617
sz399006,2014-10-30,1532.91,1525.77,1522.64,1539.21,637216519.0,13634490711.0,-0.00282141372631
sz399006,2014-10-29,1525.98,1530.08,1524.08,1535.8,739521514.0,15609613491.0,0.0052770864596
sz399006,2014-10-28,1495.69,1522.05,1495.69,1522.05,639738619.0,13575918818.0,0.0201352537852
sz399006,2014-10-27,1473.66,1492.01,1465.96,1492.01,532522458.0,11254966079.0,0.00976050157419
sz399006,2014-10-24,1478.34,1477.59,1473.06,1493.53,416169486.0,8958852569.0,-0.000168489488354
sz399006,2014-10-23,1500.55,1477.84,1474.04,1501.72,549928614.0,11638522641.0,-0.0177561161063
sz399006,2014-10-22,1518.8,1504.55,1503.82,1524.8,552624439.0,12150656601.0,-0.00852134752086
sz399006,2014-10-21,1535.07,1517.48,1515.93,1537.67,589689364.0,12988169287.0,-0.00972147900651
sz399006,2014-10-20,1513.42,1532.38,1513.42,1532.38,494938794.0,10835818245.0,0.0141133275184
sz399006,2014-10-17,1527.46,1511.05,1488.47,1529.55,658007939.0,13986952087.0,-0.0101574782518
sz399006,2014-10-16,1539.86,1526.56,1526.54,1551.84,699989917.0,15641660987.0,-0.0123335379973
sz399006,2014-10-15,1539.35,1545.62,1527.19,1545.75,651067023.0,14413298896.0,0.00422579410689
sz399006,2014-10-14,1546.67,1539.12,1532.44,1560.06,718951058.0,15541589909.0,-0.00594706415376
sz399006,2014-10-13,1548.18,1548.33,1527.7,1548.88,750136810.0,16306566767.0,-0.00378968959933
sz399006,2014-10-10,1559.93,1554.22,1546.22,1563.87,803767094.0,17618325127.0,-0.00445116022255
sz399006,2014-10-09,1562.1,1561.17,1541.67,1569.06,874494012.0,19469084942.0,0.00231001150512
sz399006,2014-10-08,1543.59,1557.57,1537.01,1557.57,745725911.0,16286158592.0,0.0108341110305
sz399006,2014-09-30,1527.26,1540.87,1527.26,1540.95,668556046.0,13502533700.0,0.00963126771176
sz399006,2014-09-29,1515.38,1526.18,1515.38,1526.36,732054504.0,14611957290.0,0.00980443402849
sz399006,2014-09-26,1506.31,1511.36,1502.5,1512.8,658988055.0,12693487362.0,0.00194972739616
sz399006,2014-09-25,1520.1,1508.42,1505.65,1523.25,839569222.0,16240141700.0,-0.00593441108301
sz399006,2014-09-24,1501.04,1517.42,1497.89,1517.42,728482215.0,14428324187.0,0.0109467751284
sz399006,2014-09-23,1485.51,1500.99,1483.04,1502.04,586736346.0,11971328411.0,0.0118899547175
sz399006,2014-09-22,1496.96,1483.35,1480.18,1496.96,654780824.0,13115301414.0,-0.010520143764
sz399006,2014-09-19,1492.1,1499.12,1486.28,1501.39,573903270.0,11366754688.0,0.00559234820266
sz399006,2014-09-18,1477.31,1490.79,1474.65,1492.61,577597724.0,11463903131.0,0.00788916097296
sz399006,2014-09-17,1473.52,1479.12,1456.5,1481.06,637539626.0,13147422038.0,0.00406481437483
sz399006,2014-09-16,1527.07,1473.13,1471.61,1529.4,1028152741.0,21520893013.0,-0.0347315276827
sz399006,2014-09-15,1522.57,1526.14,1517.3,1528.57,875535834.0,18776451417.0,0.00132141739403
sz399006,2014-09-12,1512.4,1524.12,1506.88,1524.33,780521805.0,15756202197.0,0.0073409763558
sz399006,2014-09-11,1506.0,1513.01,1502.39,1532.31,993364269.0,20973008381.0,0.00538236736451
sz399006,2014-09-10,1491.41,1504.91,1484.71,1506.47,724151489.0,15395346936.0,0.00729375904022
sz399006,2014-09-09,1492.45,1494.02,1479.06,1497.42,760818238.0,15986303336.0,0.00280702225414
sz399006,2014-09-05,1497.99,1489.84,1482.04,1498.26,775855196.0,16101853999.0,-0.00379669050018
sz399006,2014-09-04,1478.33,1495.51,1472.89,1495.81,903336160.0,19412967322.0,0.0120730364566
sz399006,2014-09-03,1468.09,1477.67,1461.23,1479.83,903742005.0,19027908326.0,0.00862779200196
sz399006,2014-09-02,1457.51,1465.03,1452.71,1465.04,789448903.0,16544034579.0,0.00839044549205
sz399006,2014-09-01,1428.37,1452.84,1427.93,1453.12,600888636.0,12509973592.0,0.0199190013963
sz399006,2014-08-29,1400.84,1424.47,1400.83,1424.47,429131983.0,9115640745.0,0.0147272215673
sz399006,2014-08-28,1423.34,1403.8,1398.56,1424.29,533934899.0,11036738224.0,-0.0117877708477
sz399006,2014-08-27,1411.76,1420.54,1411.76,1427.32,529596195.0,10766839946.0,0.00665414732665
sz399006,2014-08-26,1440.7,1411.15,1406.34,1443.6,677748993.0,13400065947.0,-0.0226179971547
sz399006,2014-08-25,1461.21,1443.81,1439.86,1461.49,798373877.0,16379116477.0,-0.0122567765964
sz399006,2014-08-22,1450.1,1461.72,1446.04,1465.67,860614459.0,17963329043.0,0.00955948727831
