index_code,date,open,close,low,high,volume,money,change
sz399005,2014-12-31,5388.73,5461.19,5381.23,5464.83,1528238061.0,26946663376.0,0.0129471297558
sz399005,2014-12-30,5491.4,5391.39,5380.07,5500.14,1609262555.0,28015913110.0,-0.0193994340172
sz399005,2014-12-29,5577.32,5498.05,5462.17,5579.74,1878725706.0,31537055081.0,-0.0121400801421
sz399005,2014-12-26,5519.98,5565.61,5498.91,5566.04,1532353853.0,25831765320.0,0.00847642817305
sz399005,2014-12-25,5470.35,5518.83,5463.26,5518.83,1266646528.0,21688562499.0,0.0120213933711
sz399005,2014-12-24,5414.39,5453.28,5393.58,5457.22,1371567970.0,22705959410.0,0.0124910856868
sz399005,2014-12-23,5433.04,5386.0,5381.15,5510.79,1425906560.0,23910341048.0,-0.0123262975501
sz399005,2014-12-22,5646.06,5453.22,5435.25,5646.06,2122295117.0,35247932095.0,-0.0379185649208
sz399005,2014-12-19,5749.18,5668.15,5600.87,5750.03,1908365030.0,33409291091.0,-0.0160857476044
sz399005,2014-12-18,5775.47,5760.81,5758.54,5809.41,1974208083.0,35435040587.0,-0.00557507011345
sz399005,2014-12-17,5839.42,5793.11,5724.76,5839.42,2371162170.0,39649932379.0,-0.00977234943546
sz399005,2014-12-16,5885.76,5850.28,5820.2,5898.03,2104371878.0,36180761177.0,-0.00542315759696
sz399005,2014-12-15,5758.9,5882.18,5753.82,5888.85,2310141799.0,39742108607.0,0.0179261598929
sz399005,2014-12-12,5737.36,5778.59,5727.45,5790.26,2112255901.0,34736637035.0,0.00910546355754
sz399005,2014-12-11,5680.47,5726.45,5660.41,5753.47,2306046116.0,38910110156.0,0.00433288253583
sz399005,2014-12-10,5500.05,5701.75,5500.05,5707.21,2620333099.0,42311614190.0,0.0387593580394
sz399005,2014-12-09,5693.36,5489.0,5479.45,5717.04,3361703781.0,55975912771.0,-0.0393642124209
sz399005,2014-12-08,5667.95,5713.92,5624.45,5737.08,2649818927.0,46677589773.0,0.00284447411716
sz399005,2014-12-05,5827.1,5697.71,5557.49,5827.1,3084567667.0,52081613321.0,-0.0198477883797
sz399005,2014-12-04,5701.74,5813.09,5701.74,5817.29,2794098261.0,46707852069.0,0.0202346590736
sz399005,2014-12-03,5615.53,5697.8,5580.75,5698.57,2906341079.0,45834950629.0,0.0147914029267
sz399005,2014-12-02,5543.83,5614.75,5539.6,5627.05,1902731256.0,30568774944.0,0.0108721796931
sz399005,2014-12-01,5578.65,5554.36,5517.6,5578.68,2067639500.0,33387560036.0,-0.00587700878938
sz399005,2014-11-28,5595.41,5587.2,5526.92,5595.41,2327746587.0,36354454129.0,-0.00208720240934
sz399005,2014-11-27,5601.58,5598.88,5559.99,5605.65,2135208865.0,33432340010.0,0.00310127684459
sz399005,2014-11-26,5588.4,5581.57,5546.6,5601.52,1923846567.0,30142669062.0,0.00134084474295
sz399005,2014-11-25,5483.49,5574.1,5481.13,5574.1,1874346474.0,30294812640.0,0.0179701258232
sz399005,2014-11-24,5470.22,5475.7,5445.44,5494.43,1933617957.0,29275201678.0,0.00928013689805
sz399005,2014-11-21,5387.23,5425.35,5383.9,5427.77,1216915150.0,18171324815.0,0.00806886011975
sz399005,2014-11-20,5401.16,5381.93,5375.57,5403.64,1049188810.0,15757817080.0,-0.00669081131901
sz399005,2014-11-19,5389.71,5418.18,5385.23,5447.21,1340613187.0,20623212748.0,0.00538899099763
sz399005,2014-11-18,5387.79,5389.14,5371.92,5409.07,1039654841.0,16171924761.0,0.0011465804242
sz399005,2014-11-17,5333.67,5382.96,5307.72,5406.65,1220301134.0,18786357930.0,0.0110318361708
sz399005,2014-11-14,5293.67,5324.23,5272.45,5327.14,1217997389.0,17625003871.0,0.00179615672135
sz399005,2014-11-13,5421.14,5314.68,5286.94,5421.14,1452038179.0,22874018375.0,-0.0197173148787
sz399005,2014-11-12,5355.18,5421.58,5349.77,5421.58,1159317582.0,18288469059.0,0.00959919791912
sz399005,2014-11-11,5544.21,5370.03,5338.67,5550.01,1945978139.0,30774974117.0,-0.0295985145898
sz399005,2014-11-10,5502.54,5533.83,5475.0,5533.86,1409767019.0,22725617938.0,0.00690682778656
sz399005,2014-11-07,5556.46,5495.87,5471.13,5577.23,1700020226.0,26865491545.0,-0.009606831717
sz399005,2014-11-06,5515.46,5549.18,5490.19,5550.33,1279283138.0,20423888212.0,0.00626588730832
sz399005,2014-11-05,5522.36,5514.62,5489.76,5531.91,1361500577.0,21689422720.0,-0.00163984879645
sz399005,2014-11-04,5575.68,5523.68,5503.2,5575.68,1483943198.0,24059210072.0,-0.00928819223362
sz399005,2014-11-03,5556.67,5575.47,5542.36,5578.64,1350282352.0,22036941168.0,0.00321884878968
sz399005,2014-10-31,5574.88,5557.58,5509.73,5584.02,1641358812.0,26213756610.0,-0.0019678425295
sz399005,2014-10-30,5574.97,5568.54,5550.06,5606.43,1543493916.0,26025021627.0,-0.00128593603858
sz399005,2014-10-29,5552.5,5575.71,5529.22,5582.07,1628456615.0,26958267969.0,0.00654705405133
sz399005,2014-10-28,5451.41,5539.44,5451.41,5539.44,1178858885.0,20314062112.0,0.018109483972
sz399005,2014-10-27,5396.22,5440.91,5369.27,5440.91,858185459.0,14412321925.0,0.00555364992156
sz399005,2014-10-24,5405.5,5410.86,5394.55,5442.32,878632587.0,14786136364.0,0.00149015187481
sz399005,2014-10-23,5457.39,5402.81,5379.06,5476.02,1093562100.0,17520829201.0,-0.0121168614864
sz399005,2014-10-22,5520.43,5469.07,5466.92,5547.16,1086326151.0,18376507093.0,-0.00878830019702
sz399005,2014-10-21,5560.53,5517.56,5510.24,5577.72,1126098260.0,19114525599.0,-0.00682264998112
sz399005,2014-10-20,5492.13,5555.47,5492.13,5557.13,1125089943.0,19293013183.0,0.0138919838441
sz399005,2014-10-17,5518.81,5479.35,5393.36,5544.81,1495269824.0,25014835771.0,-0.00833926802011
sz399005,2014-10-16,5587.71,5525.43,5525.43,5636.87,1690330355.0,29663146945.0,-0.015346405676
sz399005,2014-10-15,5577.84,5611.54,5536.72,5611.54,1445745516.0,25356489796.0,0.00615522484079
sz399005,2014-10-14,5593.92,5577.21,5547.7,5632.75,1438006708.0,25599117584.0,-0.00408191180399
sz399005,2014-10-13,5611.12,5600.07,5538.39,5611.12,1450420593.0,25222104128.0,-0.00724383586122
sz399005,2014-10-10,5655.81,5640.93,5609.83,5674.47,1649104773.0,28314789245.0,-0.00623361834203
sz399005,2014-10-09,5678.98,5676.32,5608.06,5696.19,1870139995.0,32680296968.0,0.00167571877147
sz399005,2014-10-08,5625.93,5666.82,5586.06,5666.82,1774076821.0,30683919551.0,0.0110658721096
sz399005,2014-09-30,5576.23,5604.8,5569.85,5621.01,1480502166.0,24675199679.0,0.0072050527018
sz399005,2014-09-29,5532.17,5564.71,5531.77,5570.12,1613772721.0,26633327544.0,0.00996038713382
sz399005,2014-09-26,5484.73,5509.83,5472.07,5515.87,1450167952.0,24223551653.0,0.00366339600508
sz399005,2014-09-25,5508.53,5489.72,5473.69,5552.48,1889357127.0,30233121804.0,0.00167008419939
sz399005,2014-09-24,5409.73,5480.56,5396.48,5486.98,1504098891.0,24396522844.0,0.0110870561843
sz399005,2014-09-23,5352.31,5420.47,5352.31,5422.07,1323933808.0,21172460528.0,0.0115717992004
sz399005,2014-09-22,5434.9,5358.46,5343.61,5434.9,1348761941.0,21617849597.0,-0.015035870548
sz399005,2014-09-19,5403.5,5440.26,5381.98,5447.92,1282115235.0,20159972733.0,0.00776796794116
sz399005,2014-09-18,5368.63,5398.32,5348.06,5401.65,1419207350.0,20783811715.0,0.0038186711374
sz399005,2014-09-17,5347.5,5377.79,5292.9,5377.79,1751535089.0,26955036595.0,0.00717240785169
sz399005,2014-09-16,5553.33,5339.49,5339.18,5555.55,2216865578.0,36344975632.0,-0.0383978826885
sz399005,2014-09-15,5507.05,5552.7,5485.9,5563.0,1945999126.0,31939079945.0,0.00768516868426
sz399005,2014-09-12,5455.01,5510.35,5439.84,5511.14,1708827826.0,27107415725.0,0.00950985124884
sz399005,2014-09-11,5484.46,5458.45,5434.21,5541.32,2123391310.0,35186582454.0,-0.00371432039344
sz399005,2014-09-10,5465.51,5478.8,5434.18,5486.61,1662242236.0,27370353518.0,0.000674507981769
sz399005,2014-09-09,5463.54,5475.1,5427.11,5484.9,1610679142.0,27587732800.0,0.00478599558123
sz399005,2014-09-05,5440.69,5449.02,5406.84,5456.51,1818281410.0,30211639554.0,0.00389156027193
sz399005,2014-09-04,5392.64,5427.9,5367.42,5430.4,1640884488.0,30276823132.0,0.00679020910016
sz399005,2014-09-03,5370.61,5391.29,5356.29,5404.45,1707194781.0,31004891698.0,0.00778914701092
sz399005,2014-09-02,5303.07,5349.62,5293.08,5351.26,1644777945.0,28551268639.0,0.0112009263631
sz399005,2014-09-01,5213.77,5290.37,5213.77,5290.37,1302565649.0,22037132650.0,0.0167863854611
sz399005,2014-08-29,5141.16,5203.03,5136.56,5203.03,959157358.0,16015225924.0,0.0131800374736
sz399005,2014-08-28,5189.29,5135.34,5120.64,5202.41,1145162149.0,18093468278.0,-0.0112741891977
sz399005,2014-08-27,5155.33,5193.9,5155.33,5209.18,1122277274.0,19347667553.0,0.00841148803774
