index_code,date,open,close,low,high,volume,money,change
sh000016,2014-12-31,2529.58,2581.57,2507.94,2590.09,15467581000.0,1.9368e+11,0.0229590189041
sh000016,2014-12-30,2481.08,2523.63,2464.43,2550.47,14946400200.0,1.94965e+11,0.0169096287449
sh000016,2014-12-29,2533.99,2481.66,2437.75,2557.38,18458166900.0,2.4361e+11,0.00683376750991
sh000016,2014-12-26,2365.03,2464.82,2357.67,2471.05,15209287400.0,1.98031e+11,0.044567532118
sh000016,2014-12-25,2295.22,2359.66,2263.42,2360.22,12125972200.0,1.47773e+11,0.0390914018908
sh000016,2014-12-24,2381.41,2270.88,2238.65,2388.41,12359699600.0,1.51834e+11,-0.0438202171495
sh000016,2014-12-23,2392.61,2374.95,2360.72,2462.07,13594650000.0,1.60753e+11,-0.0213171554269
sh000016,2014-12-22,2393.04,2426.68,2375.91,2479.11,21815571200.0,2.29128e+11,0.0152300148937
sh000016,2014-12-19,2366.45,2390.28,2304.61,2408.48,15843819900.0,1.8589e+11,0.0110992152843
sh000016,2014-12-18,2389.84,2364.04,2343.74,2413.68,15862150800.0,2.00428e+11,-0.00835043381819
sh000016,2014-12-17,2326.85,2383.95,2307.18,2392.57,21136280000.0,2.64171e+11,0.0368246032015
sh000016,2014-12-16,2205.88,2299.28,2195.5,2299.38,14817589700.0,1.9513e+11,0.0443971845112
sh000016,2014-12-15,2170.28,2201.54,2139.47,2208.66,10868732400.0,1.25771e+11,0.00376102169939
sh000016,2014-12-12,2186.74,2193.29,2176.32,2250.57,11152881800.0,1.41198e+11,-0.000116250338493
sh000016,2014-12-11,2211.54,2193.54,2190.25,2269.49,14604794300.0,1.71891e+11,-0.027177742998
sh000016,2014-12-10,2198.84,2254.82,2111.88,2263.99,19002797400.0,2.27856e+11,0.0330463331307
sh000016,2014-12-09,2283.16,2182.69,2149.6,2402.13,26926671600.0,3.17689e+11,-0.0505278946116
sh000016,2014-12-08,2187.5,2298.85,2160.49,2317.56,19908190800.0,2.22491e+11,0.0448112103472
sh000016,2014-12-05,2201.82,2200.25,2115.42,2259.51,22531739400.0,2.42331e+11,0.0183244934418
sh000016,2014-12-04,2043.47,2160.66,2032.41,2161.39,17227108200.0,1.75809e+11,0.0604023881212
