index_code,date,open,close,low,high,volume,money,change
sh000001,2014-12-31,3172.6,3234.68,3157.26,3239.36,40599852100.0,4.3232e+11,0.0217517448114
sh000001,2014-12-30,3160.8,3165.82,3130.35,3190.3,39772532000.0,4.37263e+11,-0.000694756592138
sh000001,2014-12-29,3212.56,3168.02,3126.94,3223.86,51011143900.0,5.55904e+11,0.00329775465757
sh000001,2014-12-26,3078.01,3157.6,3064.18,3164.16,46070093200.0,4.88915e+11,0.0276862500553
sh000001,2014-12-25,2992.46,3072.54,2969.87,3073.35,37694777600.0,3.79018e+11,0.0336426992207
sh000001,2014-12-24,3039.21,2972.53,2934.91,3050.51,37680524600.0,3.78727e+11,-0.0198113045784
sh000001,2014-12-23,3085.08,3032.61,3025.67,3136.84,43776240000.0,4.19468e+11,-0.0303228354136
sh000001,2014-12-22,3129.27,3127.45,3090.51,3189.87,67937191500.0,6.24481e+11,0.00606350905682
sh000001,2014-12-19,3053.08,3108.6,3018.42,3117.53,52107351100.0,5.1558e+11,0.0167047094689
sh000001,2014-12-18,3062.8,3057.52,3030.32,3089.79,43590495200.0,4.66525e+11,-0.00114308302461
sh000001,2014-12-17,3031.95,3061.02,2993.33,3076.6,54250317900.0,5.80339e+11,0.0130735610379
sh000001,2014-12-16,2953.81,3021.52,2943.91,3021.9,45384272300.0,4.92716e+11,0.0230569905205
sh000001,2014-12-15,2921.45,2953.42,2890.9,2960.23,40037169500.0,4.11487e+11,0.00518961953568
sh000001,2014-12-12,2929.36,2938.17,2914.96,2962.51,40948081100.0,4.2041e+11,0.00424849345961
sh000001,2014-12-11,2912.35,2925.74,2892.61,2965.68,48263273300.0,4.79801e+11,-0.0048513506435
sh000001,2014-12-10,2855.94,2940.01,2807.68,2946.71,51288691300.0,5.3499e+11,0.0293169165789
sh000001,2014-12-09,2992.49,2856.27,2834.59,3091.32,77199837900.0,7.93361e+11,-0.0542963548147
sh000001,2014-12-08,2907.82,3020.26,2879.85,3041.66,58757089000.0,5.93478e+11,0.028121486346
sh000001,2014-12-05,2926.57,2937.65,2813.05,2978.03,64050029600.0,6.39191e+11,0.0131717811893
sh000001,2014-12-04,2783.47,2899.46,2772.43,2900.51,53268771800.0,5.09219e+11,0.0431480198955
sh000001,2014-12-03,2768.68,2779.53,2733.87,2824.18,56212028100.0,5.29777e+11,0.00578242800461
sh000001,2014-12-02,2667.82,2763.55,2665.69,2777.37,43773338100.0,3.97239e+11,0.0311138721455
sh000001,2014-12-01,2691.73,2680.16,2668.84,2720.74,44679174100.0,4.0112e+11,-0.000998943282013
sh000001,2014-11-28,2629.63,2682.84,2622.06,2683.18,46588003500.0,4.01951e+11,0.0199008852357
sh000001,2014-11-27,2615.37,2630.49,2599.11,2631.4,36407571900.0,3.38961e+11,0.010037456635
sh000001,2014-11-26,2572.65,2604.35,2570.4,2605.07,33712724900.0,3.16521e+11,0.0143122148842
sh000001,2014-11-25,2532.0,2567.6,2527.08,2568.38,31431557200.0,2.82169e+11,0.0137069319142
sh000001,2014-11-24,2505.53,2532.88,2495.52,2546.75,36348583500.0,3.30291e+11,0.0185331216013
sh000001,2014-11-21,2452.64,2486.79,2446.65,2488.2,21223977400.0,1.9781e+11,0.013915911704
sh000001,2014-11-20,2443.28,2452.66,2437.48,2458.32,16549521300.0,1.508e+11,0.000682990437318
sh000001,2014-11-19,2452.15,2450.99,2442.71,2461.49,18623577100.0,1.67069e+11,-0.00219022735211
sh000001,2014-11-18,2474.18,2456.37,2449.81,2477.05,20106257000.0,1.74659e+11,-0.00713134026594
sh000001,2014-11-17,2506.86,2474.01,2472.45,2508.77,21568780000.0,1.99265e+11,-0.00194245335691
sh000001,2014-11-14,2477.97,2478.82,2457.05,2481.03,22060761900.0,1.91925e+11,-0.00272850966726
sh000001,2014-11-13,2495.0,2485.61,2471.41,2507.74,29503705800.0,2.58312e+11,-0.00355585702167
sh000001,2014-11-12,2454.6,2494.48,2444.81,2494.92,25293385200.0,2.15739e+11,0.0100430299882
sh000001,2014-11-11,2483.65,2469.67,2445.96,2508.62,41190406500.0,3.31257e+11,-0.00161702860483
sh000001,2014-11-10,2436.63,2473.67,2428.19,2474.16,30062820300.0,2.45234e+11,0.0229520575675
sh000001,2014-11-07,2427.9,2418.17,2407.44,2454.42,29117224500.0,2.44158e+11,-0.00317124125672
sh000001,2014-11-06,2419.62,2425.86,2401.75,2426.89,22200508800.0,1.79644e+11,0.0027322472134
sh000001,2014-11-05,2432.17,2419.25,2415.5,2434.36,26360665400.0,2.01859e+11,-0.00469951375687
sh000001,2014-11-04,2428.27,2430.68,2417.22,2435.22,30901303900.0,2.26504e+11,0.000265428603409
sh000001,2014-11-03,2425.23,2430.03,2418.17,2436.79,29882123500.0,2.27197e+11,0.00407160134503
sh000001,2014-10-31,2393.18,2420.18,2384.48,2423.6,32576352200.0,2.49915e+11,0.0121710895011
sh000001,2014-10-30,2371.89,2391.08,2365.92,2397.26,29464594300.0,2.26611e+11,0.00760462362465
sh000001,2014-10-29,2343.72,2373.03,2339.71,2381.64,26558868700.0,2.25067e+11,0.0150388965003
sh000001,2014-10-28,2294.01,2337.87,2294.01,2338.28,17859035700.0,1.58148e+11,0.0207095851141
sh000001,2014-10-27,2293.57,2290.44,2279.84,2293.64,13026156800.0,1.1338e+11,-0.00514403113435
sh000001,2014-10-24,2303.08,2302.28,2296.66,2314.88,13222528100.0,1.14331e+11,-5.9936987984e-05
sh000001,2014-10-23,2322.32,2302.42,2297.33,2329.93,16263630800.0,1.40597e+11,-0.0103737159652
